Block: 84
Row TimeStamp TraceOriginalId DocumentHash ContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature VersionSignature LedgerSignature LedgerSeal Block
1072 2020-05-21T00:56:45.901Z 65bb688656d37e93c8817a633b2f2ba9cbdb471ffc651bae08c23d511de3867a 65bb688656d37e93c8817a633b2f2ba9cbdb471ffc651bae08c23d511de3867a 3df50255cb32a38df3d81474a72f8352bf8c9a0071fbf8e908eb8135035177e3 CRE 1 0362f24811ee30e8d536873c3530d88812c9cb17910db604bdab8362a18139a05d 02d978f084c9049ae9ca4736677e27b7953776c7362667585ae5bf02d81c0cc49a FOBquBm7A93T4hVGTNUz3zYpk8V0gYm78+PObQqG3dQcTPfb0TSbynEZ0A8Br0yJqKfErny1/RLTnG5e2FoJOg== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 +TXT+SBftEqeSklOLhM+KjtLN2P8Ao5nUZMsPu9mn5ULnALT9cUwOUi8ACVWulOI8wB4Ao8RUuy65kk7rgmGig== vSkjfx3xtDoHNS82HxJlfssZcZCtKhsEI14dZshmCHXGi7gQJzoX8AKKxK1RoDqRDrG2PRe1iUEemCqbBNN26Q== 84
1073 2020-05-21T00:57:06.8Z 054b64acfca01311a9449e98491a326b1031dbb122942ff5ef21816f2f2b8299 054b64acfca01311a9449e98491a326b1031dbb122942ff5ef21816f2f2b8299 054b64acfca01311a9449e98491a326b1031dbb122942ff5ef21816f2f2b8299 HBT 83 0255b05f4ae25038025a67474b3ffbe9d70fef85cad4b66f6594c4d6929ff290cc 029c259099b6fe3d18d4d2dc54ed4a016326cc7e83267f3f78ab2aed864a9363e2 nTAOjNPh4C8cxuIiNdyUaJRvh54F6tstGAt8nK34RHf+zGZ84CW+UOd0nSq/FLw20X8rHXKA+dRkjDHdEn29NA== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 8UexDnv1WTUtJb1KeVEFAGXo3TQ6ss0XpoV+MVNqBgQEuHDTy1JKMsAgFmrLgnGI/ZyscoUBGplr1fcIVLlOtQ== UY7/XSoNGQ4HYjXiXRWrwgFEzBq7BtGYYKVWrv6A0MeOXFtR5IuEXIKbJB0TPi5f2hzE8Ko+GllLlq/NfPpiFg== 84
1074 2020-05-21T00:57:11.559Z e9f02053886095794753c6c5929c4b4f96191ca5591f87618f8499a747855551 e9f02053886095794753c6c5929c4b4f96191ca5591f87618f8499a747855551 e9f02053886095794753c6c5929c4b4f96191ca5591f87618f8499a747855551 HBT 83 03a0c295559d19cd215bab67b958d6bea6f46e85c13bbab6ae436e285c66bc989d 02776d4eca4c23e22c8a8ecca1a3a089878808437000253451505e8520b6680d42 DY8/7JLPpSfmBY/WtwfZgS5m094kT/UF7fDb4OmSzdIw2rQ8zC46xxuFV3CxR6g3F68I5n/ZthvOJM9S+HRv/w== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 pZNt6D9Hzs0pJuLJofOiVRgWtkFTYunaJQZkYBzWX4IXyzPztDAe208YqJ80pCujca/r7f5AxwEqf4b3a749VA== mKnbaWmmeyQad00/J2B1KEucs8jKbGL8VMWNq/SlF5jp1Ifwvk5msAVhX5qDYBRUlad2C9XchOtHSNUi6Bs0iw== 84
1075 2020-05-21T00:57:16.959Z 3a782898c720d410e9a3115728cd48bdc80fe3e04438aaf9da38a2a90cd5c5dc 3a782898c720d410e9a3115728cd48bdc80fe3e04438aaf9da38a2a90cd5c5dc 3a782898c720d410e9a3115728cd48bdc80fe3e04438aaf9da38a2a90cd5c5dc HBT 83 028fddf9d08973c4a57cdcac76443e128af80cc2f21b14dcced063dfaf49bef482 020e344cc9c680662cdc6c85c67312220917b53bf2ec257f88d2b1a64d0111b8e6 pveKzoqNmq30jqYAIKgP+uOBXojx+b1PW+EenXFPiTlHMvjv1tfNSAg1cWBjVwuHr6zUFJ6tQ01XWXD0I56S5w== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ddzhgd3k+wf51XUR0aBbKSx0pOH3fVpXws0BVBfcMX95arti9GFHTwX81KPaGMUYtaCaf1pLEGFPmGxFOIyroA== F6yITGl8EvXNG8NFVOfUfqYo8NUtpCOa9cYFc7h+B1fPk24x7pFfqIC+1Rg0fpyPTRrZqYEvdxnjp56jN1EA1Q== 84
1076 2020-05-21T02:29:05.401Z 29b5b7f597ce982a0c9f7d37a574b4bcbed50d011c05eff7ed233a2ab99407db b4ba5c615dd569745b9ce6d7eba9793b5fdd7518830bd8b5f6146394bb38b5cf 8708dede2cb0432a6271792f053c696d91fa68130e85f04e4571d29a5e31906a AME 5 038649fa9e701952beb648f2d0aa98f2047b020ef7a2fbd7d18db340a17aeb4cb4 03eaf6277dd588bb08190ebfbe94802e12ac5304fe5dfa708e4859c7945f5b2b8a pyGUyFswxrmyjpHsdpib0rWnim7wEuhXNczhxdRUcS1F+QKzkmfrKDybm9IkHsdx7kUuuREcl76zlELfNaVhTA== FjHbDQwzlK5fx3iFMRY8PELvEkKZ82uJidhE1P+eH1AQbgXjY+xkDyF+jajudTiIbgUktBtc+Lrszf5qOMlqVw== qh3unKh8T5VbuwmLjmczeMLv09f4L1CptgGrI5k0NNA1Zl5iC5Z0jyDBatyKHmsvbvQF2nsAgTmsZq476rpVfw== v63+XvZ6sgU7jfstcqbFQonu/lEX2CyrCGWHMaOhu8skGjmGQ9jq5E383T4AXjcIc8hwjqqDlR8HCC6oipx9BQ== 84
1077 2020-05-21T04:11:42.95Z de5ec81cd0f41cdd74e17c49e3bfa8c192dc1ae483d07d98e3a9c57382be109b de5ec81cd0f41cdd74e17c49e3bfa8c192dc1ae483d07d98e3a9c57382be109b e71fa7a71b42a81026795385bbd534df1186b597e5fffd501a6d91941a873a1c CRE 1 03e8fc67bc3f84c3117e7acba44bfab0e5f2bc5abd9c3cb315dcdc5f4fff11035d 03e436066502bd06fde709ad6cc85f8ce4948565d89572981cd62def29d14ae449 VQEQOIvK1rML3IRopuKM3qfqXmS0CPZrOZZAvcRUNO19m41s5wR8ZohW2aK8R39Q2mwzOCuSD2zOr+zeF8tqwg== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 5DUmKdx6F57aT0hrnxmkweFN7SRcYycm8a0pAuMTYP7HuWY6NQHfqYVAzeWljpCNnSkbfp5QyPfvNPFvZPTsbA== pBSe6yUlG6D7CYoTq/MVJ5xZh0sfy2YPLBYAZyTzkpj26FkZKHWgnjVa2fiB0aL9Z376s3zT9YlAUQq+Mrs/Sw== 84
1078 2020-05-21T05:32:11.18Z e8a696e9e9c0ac1d6723bb5be7c0c11c4283daa4e41ab0ec26133aac7661e5ac 3c56801ecaf3d3448193862f185f29d6cc4c492d73ce02ffa997019a7f47211e f60eb0ae3d191d310c88b513c797f7082c785c76a970b7b72ea1617f848d6791 AME 8 02462692eaf35abc04887cd9436e6493ddfa902c9edd9be49e76bd18603cea016f 02307c5104a5bc4fa7f995d4b105edb88aee1197447f6ab5aef69f482afab479a6 6s5e5xCg6Ay89s6/TvYpLyayxIkmI20ySGbg2TuJVLd7AVShgY734144F+vl6s1wWAtaPjIhHLjbD0KR+YZf0w== PK7TOl2GLsUZD8yeHxygYfudqTkH5hizrz08RSwKvhvuU/oqimyL+5BXkxdQStkWp9kKu22alsA3QFfYL1k57g== mJyMExEbjQ1JT8rSADMbebWk6iM0PR5QhCJ0cvamisV6LfXCqbhGD91Hh9TXvQYXpkdOHjYnxWDQAQJQVUWtdg== 0MD9JvC19M4DN2JGR1y5dol0m6+1uPyw+RqKncHMoKsY4GW8dOEijF7bwh7icFm3oWk1G0t4HBtZnP0efLR+2w== 84
1079 2020-05-21T06:53:56.744Z a986aa1f1d299780baa981fad51fb37a34bec3ef977b1187ae7afdd06e118f0d a986aa1f1d299780baa981fad51fb37a34bec3ef977b1187ae7afdd06e118f0d f33fd52682f640aeade05d00144c433319056c80d49cf4c372aaf24deb3c7f97 CRE 1 03da0fad548d7c34e3a75475ca11b6c835e5450ef92f651b1fff85cdb0bfb7932d 0323e2a300c5fe50a2241bec1d9d1a15ad10925d9ef59df2e61df04b7d4a7e3588 BTDtaYtlvtW2AuxF9xJ26f27J1Y+hgwUn8dr+wgmxz6IroKvdvkX8Igu2DJ4n6sqTdwclwD4e7/o4wO8M7VksQ== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 3Lqb0lGDP+Q3sdghIENKrnWcgA65qGWawH6s8wjl4PE4rSwdQf/ZFZs9WUeATJqgxiBUlLmr5gQpzFn5O/7uzQ== t5RZ0f0pV96cng6bo5umyWtw3e6ASmiivwzl6G8sClr3h2n5Eqrjfn5SleWBGFDS/0fHngmDIs+XOzV26AxJ1A== 84
1080 2020-05-21T09:53:15.057Z 310265c164956ba77cb37c32717f3378f6eb64e5f8bd44f2a9da6653ca365102 cc3cdda2827e636b1ed770a207a67ac0fa8287e1fc62c1ee13d4003fb8017e49 914a5cfe3ac739ba9cabd6163cd9133a79142f12475bcf7b993ef2c84f8e2b1f AME 7 033a9e46eeb69bf47e72c413a8a5e6d5953c359c7b6ded60edebdecfe8c3c38617 025e8466902a59eadf0d28e5d4d81d7ce4136dbd15a98677e05fd31a2f861c147c OFViUTxbPSaDvN0lv5XEOi5V9qrqPgmqYWpYoYSiiAei04rqJWIxrUOYzPj0qZm3H+6zAgHWZ9ehRQy0osolyA== M1SeSvzhYwUFaCC6bqjYr1MpaKtijFZGjGIivrBGeh0jVinru3P9YmriF/WoiwBzAcxzGEPBXlmQ/g/qcjvj+A== W8lzaWcgdMSszyyK6zD44Q+aKqoj3JPMwWOykUf198nVJVkSvOPG5S6kbZqsflX/NyyKNAWuI7VT5iADW92BRg== ARXR3fB0f2jHWJSrup4kZ5XYGZdnBr3MgMC19W+qkWe/lnjq4l0QiO7wbnL643fxhtAjvMeVMeGhLHMFsqNLIw== 84
1081 2020-05-21T11:08:31.234Z 57e23317e284e708e6cb8228d3fa51e1d4738bba2daed180e8fb461c2aac2e26 a9375155c5f3e79773290111cc0ddd3dc09b273f045ee863172579359249220e 814d6e7ff902a4765488b915cce4f8f65b1ae0b9cf862158e339c3d3cce87797 AME 2 036ebdd588b659ed16bf8419a3bec6560420eaf2dc3bd5f1070832f53e1c3abf86 02592dd12c3b2c04da9f3d4e867a79342dbab6c8a51e2d9ab10b3a40e51955def1 LKCdmQonk3sIaKCIPtBSUoC9oNwr+ImdrmJqn52qkxeBsjMAFW34vcflYxeBFQ+SoARxFHba2EnMFpji3E1ymA== LceyZRQNlDsac6O20XK2jvazRlqPWXmbDQlMMTsquy6bE9tWvPsjop7ro9mOtrVkkjLqkN51nzY395dhWmJqew== TJkrjhPHl0Fo5Y0i9BYEgJU3t6LmQIWmSec3gDoLDGy1jvc+EA9zyXEqMDTxPSN1hQBnauIgJMgWN9KuwKWylQ== 2zeIdQJ53sl7DJSXGi2BlirsrZAGXv0ugZSNZuDtQ437i4spnX0UKHx5h6sSGSGMOSJz6QapNDYXXwx69QFuTw== 84
